nl,ml
friday october 20 1995,1995/10/20
19-May-11,2011/5/19
monday december 19 1994,1994/12/19
saturday june 22 1991,1991/6/22
november 4 1999,1999/11/4
wednesday june 10 1970,1970/6/10
10-Jul-82,1982/7/10
thursday june 24 1971,1971/6/24
2-May-86,1986/5/2
sunday march 20 1977,1977/3/20
monday september 12 1977,1977/9/12
saturday november 4 1989,1989/11/4
tuesday july 6 1982,1982/7/6
tuesday february 11 1975,1975/2/11
wednesday february 23 2011,2011/2/23
29.01.90,1990/1/29
september 14 2000,2000/9/14
monday may 26 1975,1975/5/26
27 07 95,1995/7/27
tuesday march 22 2011,2011/3/22
thursday november 17 2011,2011/11/17
19-Jul-70,1970/7/19
12/12/92,1992/12/12
30.08.06,2006/8/30
saturday may 10 2014,2014/5/10
monday june 7 2010,2010/6/7
january 27 2008,2008/1/27
friday february 10 1989,1989/2/10
21-Dec-06,2006/12/21
10/23/12,2012/10/23
15-Jan-98,1998/1/15
22.04.79,1979/4/22
7/25/78,1978/7/25
wednesday july 26 2006,2006/7/26
10-May-15,2015/5/10
2-Feb-13,2013/2/2
february 17 2009,2009/2/17
december 21 2011,2011/12/21
7-Jul-15,2015/7/7
15-Oct-07,2007/10/15
1-Jun-84,1984/6/1
7-Jul-92,1992/7/7
29-Jun-81,1981/6/29
15 11 70,1970/11/15
sunday february 9 2003,2003/2/9
tuesday september 21 1993,1993/9/21
friday january 8 1993,1993/1/8
27.03.87,1987/3/27
february 2 2012,2012/2/2
october 23 2008,2008/10/23
saturday january 30 2010,2010/1/30
5 10 86,1986/10/5
thursday september 6 1973,1973/9/6
5/21/79,1979/5/21
thursday march 14 1985,1985/3/14
monday august 10 1981,1981/8/10
22-Feb-93,1993/2/22
sunday november 30 1975,1975/11/30
6-Sep-91,1991/9/6
saturday march 18 1995,1995/3/18
12-Mar-91,1991/3/12
7-Jun-78,1978/6/7
feb 28 2000,2000/2/28
thursday october 20 2005,2005/10/20
22-Aug-81,1981/8/22
tuesday may 6 1975,1975/5/6
18-Nov-17,2017/11/18
16-Oct-85,1985/10/16
aug 9 2017,2017/8/9
7-Nov-06,2006/11/7
20-Dec-06,2006/12/20
november 30 1981,1981/11/30
thursday january 1 1981,1981/1/1
thursday september 6 2001,2001/9/6
apr 30 1990,1990/4/30
25-Apr-79,1979/4/25
23-Sep-09,2009/9/23
01.03.76,1976/3/1
wednesday july 17 1974,1974/7/17
july 21 1970,1970/7/21
12-Apr-97,1997/4/12
saturday october 6 2001,2001/10/6
tuesday october 14 1975,1975/10/14
monday june 15 1998,1998/6/15
18-Dec-86,1986/12/18
sunday may 8 2016,2016/5/8
may 24 1977,1977/5/24
sunday june 12 2011,2011/6/12
saturday october 22 2016,2016/10/22
thursday may 2 1974,1974/5/2
monday august 10 1970,1970/8/10
saturday april 20 2013,2013/4/20
monday december 5 2005,2005/12/5
28 12 92,1992/12/28
6-May-97,1997/5/6
friday august 16 2013,2013/8/16
april 2 1986,1986/4/2
sunday july 19 1998,1998/7/19
saturday april 21 1984,1984/4/21
sep 7 1974,1974/9/7
05.08.11,2011/8/5
august 8 2003,2003/8/8
wednesday december 2 1970,1970/12/2
6-Jul-70,1970/7/6
thursday october 12 2000,2000/10/12
sunday august 23 2009,2009/8/23
tuesday may 8 2007,2007/5/8
15-Mar-71,1971/3/15
28 09 95,1995/9/28
april 22 2009,2009/4/22
november 11 2003,2003/11/11
sunday january 9 1977,1977/1/9
sunday february 3 2002,2002/2/3
11.04.06,2006/4/11
tuesday august 4 1987,1987/8/4
december 4 1988,1988/12/4
15-Aug-73,1973/8/15
saturday april 25 2015,2015/4/25
saturday november 24 1979,1979/11/24
tuesday december 22 1998,1998/12/22
26-Jun-12,2012/6/26
may 7 1985,1985/5/7
thursday march 24 2016,2016/3/24
saturday june 12 2004,2004/6/12
23 03 77,1977/3/23
11/7/98,1998/11/7
13 12 16,2016/12/13
tuesday september 9 1980,1980/9/9
9-Sep-09,2009/9/9
29 12 76,1976/12/29
20-Apr-12,2012/4/20
may 29 1984,1984/5/29
wednesday april 25 2012,2012/4/25
wednesday november 21 1973,1973/11/21
wednesday july 24 1996,1996/7/24
25-Mar-86,1986/3/25
november 4 2011,2011/11/4
saturday april 7 2012,2012/4/7
27-Dec-89,1989/12/27
20-Nov-06,2006/11/20
april 3 1980,1980/4/3
september 21 1992,1992/9/21
06.06.91,1991/6/6
13 07 17,2017/7/13
friday april 5 1985,1985/4/5
friday april 10 2015,2015/4/10
14-Jul-00,2000/7/14
9/22/76,1976/9/22
24-Feb-03,2003/2/24
friday february 8 2002,2002/2/8
04.02.87,1987/2/4
4-Nov-76,1976/11/4
march 27 1999,1999/3/27
28-Dec-05,2005/12/28
thursday november 11 1999,1999/11/11
friday february 25 1977,1977/2/25
april 26 1996,1996/4/26
may 30 1982,1982/5/30
july 29 1998,1998/7/29
tuesday march 12 2002,2002/3/12
23-Jan-06,2006/1/23
9/22/01,2001/9/22
monday october 13 1986,1986/10/13
18-Oct-83,1983/10/18
sunday october 30 1977,1977/10/30
august 11 2005,2005/8/11
tuesday july 9 1991,1991/7/9
3-Oct-10,2010/10/3
wednesday september 26 2001,2001/9/26
10.12.70,1970/12/10
tuesday april 7 1981,1981/4/7
november 22 1974,1974/11/22
3-Dec-86,1986/12/3
august 20 1971,1971/8/20
august 15 2002,2002/8/15
6-Jul-90,1990/7/6
jun 20 2007,2007/6/20
8-Oct-94,1994/10/8
monday may 14 2001,2001/5/14
2/14/88,1988/2/14
saturday june 9 2001,2001/6/9
6/15/70,1970/6/15
december 2 1974,1974/12/2
15-Jun-79,1979/6/15
may 19 1974,1974/5/19
10-Aug-02,2002/8/10
15-Jul-89,1989/7/15
17 10 11,2011/10/17
saturday march 14 1998,1998/3/14
wednesday october 1 2008,2008/10/1
9 09 76,1976/9/9
8-Dec-76,1976/12/8
march 22 1994,1994/3/22
5-Mar-92,1992/3/5
14 11 72,1972/11/14
december 9 2003,2003/12/9
friday february 17 1984,1984/2/17
tuesday march 31 1992,1992/3/31
tuesday april 27 1976,1976/4/27
wednesday march 29 2006,2006/3/29
wednesday march 23 1977,1977/3/23
february 3 1995,1995/2/3
wednesday july 1 1987,1987/7/1
sunday june 26 1988,1988/6/26
saturday february 24 1996,1996/2/24
october 21 1997,1997/10/21
saturday january 2 1982,1982/1/2
12-Dec-05,2005/12/12
monday october 16 1972,1972/10/16
friday november 25 1988,1988/11/25
mar 16 1976,1976/3/16
11-Jun-12,2012/6/11
sunday november 23 1997,1997/11/23
thursday november 6 1997,1997/11/6
sunday december 24 2000,2000/12/24
friday february 3 1984,1984/2/3
14-Jan-84,1984/1/14
tuesday march 14 1978,1978/3/14
17-Jun-02,2002/6/17
monday april 11 1988,1988/4/11
may 10 2013,2013/5/10
11-Feb-05,2005/2/11
21-Feb-77,1977/2/21
thursday april 11 1991,1991/4/11
monday april 20 1987,1987/4/20
sunday december 1 1974,1974/12/1
thursday january 23 1975,1975/1/23
saturday november 17 1973,1973/11/17
thursday august 3 2017,2017/8/3
thursday september 29 1988,1988/9/29
monday march 30 1970,1970/3/30
23 10 91,1991/10/23
wednesday march 7 1979,1979/3/7
saturday march 14 1970,1970/3/14
thursday january 24 2008,2008/1/24
friday february 9 1973,1973/2/9
may 16 2000,2000/5/16
jun 21 1972,1972/6/21
23-Sep-11,2011/9/23
thursday may 25 1989,1989/5/25
wednesday september 26 1973,1973/9/26
26-Dec-07,2007/12/26
wednesday may 13 1998,1998/5/13
monday march 1 1976,1976/3/1
saturday august 2 1975,1975/8/2
january 7 1999,1999/1/7
aug 14 2005,2005/8/14
4-May-04,2004/5/4
3-Dec-73,1973/12/3
saturday september 27 1997,1997/9/27
june 4 1979,1979/6/4
monday april 17 2017,2017/4/17
10-Feb-08,2008/2/10
29-Nov-16,2016/11/29
thursday february 8 1996,1996/2/8
tuesday july 26 2016,2016/7/26
wednesday august 20 2014,2014/8/20
27-Mar-85,1985/3/27
sep 5 1985,1985/9/5
6-Apr-13,2013/4/6
2-Jun-95,1995/6/2
monday march 26 1979,1979/3/26
saturday february 1 1992,1992/2/1
monday august 20 2007,2007/8/20
20.10.00,2000/10/20
monday june 9 2003,2003/6/9
sunday september 20 1998,1998/9/20
14-Jun-83,1983/6/14
may 27 2005,2005/5/27
thursday april 13 2017,2017/4/13
5/27/80,1980/5/27
sunday september 3 1972,1972/9/3
10-Mar-92,1992/3/10
february 20 1998,1998/2/20
october 7 1970,1970/10/7
28-Jun-77,1977/6/28
12/26/92,1992/12/26
11/22/95,1995/11/22
22-Sep-12,2012/9/22
monday february 5 1973,1973/2/5
30.06.80,1980/6/30
thursday november 6 2003,2003/11/6
october 31 1982,1982/10/31
7-Nov-73,1973/11/7
oct 29 1981,1981/10/29
26.05.06,2006/5/26
nov 5 2011,2011/11/5
monday april 3 2006,2006/4/3
april 28 2009,2009/4/28
wednesday december 1 2004,2004/12/1
saturday december 17 1977,1977/12/17
friday january 11 2008,2008/1/11
22-Nov-17,2017/11/22
17-May-06,2006/5/17
thursday february 15 1973,1973/2/15
sunday june 7 1992,1992/6/7
12.10.82,1982/10/12
tuesday october 29 1991,1991/10/29
28-May-14,2014/5/28
11.03.97,1997/3/11
9-Jun-77,1977/6/9
20-Nov-11,2011/11/20
13-Feb-89,1989/2/13
apr 25 1986,1986/4/25
jul 13 2013,2013/7/13
thursday may 5 1983,1983/5/5
tuesday february 12 2002,2002/2/12
28-Jun-07,2007/6/28
march 7 1997,1997/3/7
sunday june 27 1982,1982/6/27
14-Oct-08,2008/10/14
24-Dec-90,1990/12/24
10-Feb-99,1999/2/10
wednesday february 26 1975,1975/2/26
saturday august 10 1996,1996/8/10
23-Feb-91,1991/2/23
sunday july 16 1995,1995/7/16
sunday june 29 1997,1997/6/29
4-Nov-71,1971/11/4
saturday august 27 1994,1994/8/27
monday february 10 2014,2014/2/10
17-Dec-70,1970/12/17
sunday april 11 2004,2004/4/11
17-May-16,2016/5/17
july 26 1995,1995/7/26
monday may 17 1993,1993/5/17
tuesday january 18 1983,1983/1/18
jul 30 1976,1976/7/30
6-Jul-86,1986/7/6
4-Sep-77,1977/9/4
mar 21 1989,1989/3/21
30.01.89,1989/1/30
february 15 1970,1970/2/15
25-Jul-86,1986/7/25
friday march 10 1995,1995/3/10
tuesday january 6 1970,1970/1/6
sunday april 11 1993,1993/4/11
september 13 1989,1989/9/13
saturday march 1 1975,1975/3/1
20-Mar-08,2008/3/20
30-Jun-72,1972/6/30
thursday february 26 2004,2004/2/26
saturday june 17 2000,2000/6/17
sunday january 13 1974,1974/1/13
4-Jul-81,1981/7/4
29 10 73,1973/10/29
14-Oct-17,2017/10/14
9-Dec-93,1993/12/9
friday october 3 1997,1997/10/3
april 27 1980,1980/4/27
11/28/82,1982/11/28
thursday december 22 1977,1977/12/22
february 24 2016,2016/2/24
friday august 15 1980,1980/8/15
thursday october 30 1975,1975/10/30
monday december 8 1997,1997/12/8
28 02 79,1979/2/28
9-Jul-00,2000/7/9
thursday december 31 1970,1970/12/31
monday august 26 1985,1985/8/26
aug 28 1987,1987/8/28
wednesday november 19 2014,2014/11/19
1-Dec-95,1995/12/1
17.04.97,1997/4/17
saturday november 24 1990,1990/11/24
saturday february 27 1988,1988/2/27
28-May-88,1988/5/28
9-Jun-09,2009/6/9
sunday march 28 2004,2004/3/28
12/4/79,1979/12/4
friday august 20 1982,1982/8/20
saturday march 19 1977,1977/3/19
friday february 19 2016,2016/2/19
27 03 14,2014/3/27
wednesday may 22 2013,2013/5/22
16-Oct-85,1985/10/16
monday january 7 1985,1985/1/7
sunday july 27 1997,1997/7/27
19-Jun-91,1991/6/19
monday august 2 1999,1999/8/2
december 20 1977,1977/12/20
3-Oct-79,1979/10/3
march 3 2003,2003/3/3
tuesday april 4 2006,2006/4/4
20.05.86,1986/5/20
sunday april 26 2009,2009/4/26
december 7 2003,2003/12/7
february 13 2007,2007/2/13
sunday february 6 1994,1994/2/6
saturday november 16 1974,1974/11/16
21 01 85,1985/1/21
10-Jan-84,1984/1/10
wednesday june 7 1972,1972/6/7
tuesday june 30 1970,1970/6/30
monday october 6 2008,2008/10/6
19-May-92,1992/5/19
thursday may 30 2002,2002/5/30
thursday may 8 1980,1980/5/8
sunday september 14 2014,2014/9/14
14-Nov-73,1973/11/14
friday june 27 1975,1975/6/27
wednesday march 24 1976,1976/3/24
13-Nov-87,1987/11/13
august 26 1985,1985/8/26
1/26/72,1972/1/26
30-Sep-75,1975/9/30
february 5 1988,1988/2/5
wednesday july 25 2001,2001/7/25
2010/5/1,2001/10/5
thursday august 15 1985,1985/8/15
saturday december 17 1983,1983/12/17
5-Jan-02,2002/1/5
23-Nov-74,1974/11/23
thursday september 28 1972,1972/9/28
friday march 26 2004,2004/3/26
october 11 1972,1972/10/11
wednesday december 20 1995,1995/12/20
sunday april 29 1984,1984/4/29
9-Sep-06,2006/9/9
8-Sep-17,2017/9/8
13-Dec-92,1992/12/13
6-Sep-06,2006/9/6
oct 17 1983,1983/10/17
27-May-93,1993/5/27
thursday june 14 2012,2012/6/14
friday june 27 1975,1975/6/27
sunday may 10 1998,1998/5/10
12-May-79,1979/5/12
saturday september 4 1999,1999/9/4
13-Jun-09,2009/6/13
23-May-15,2015/5/23
january 17 1982,1982/1/17
monday may 20 1974,1974/5/20
22-Sep-12,2012/9/22
thursday august 12 2004,2004/8/12
15-Sep-08,2008/9/15
5-Nov-70,1970/11/5
1-Oct-05,2005/10/1
mar 14 1994,1994/3/14
3/22/72,1972/3/22
november 15 2004,2004/11/15
3-Sep-81,1981/9/3
sunday september 3 1995,1995/9/3
monday march 31 1975,1975/3/31
january 8 1995,1995/1/8
friday november 6 2009,2009/11/6
12-Jan-71,1971/1/12
sunday october 11 2009,2009/10/11
monday march 24 1997,1997/3/24
saturday april 27 1991,1991/4/27
6/17/82,1982/6/17
august 29 1988,1988/8/29
march 9 1979,1979/3/9
monday march 21 2011,2011/3/21
thursday august 23 1984,1984/8/23
saturday april 28 1979,1979/4/28
sunday may 21 2006,2006/5/21
jun 29 1986,1986/6/29
3/15/93,1993/3/15
monday october 17 1983,1983/10/17
